gate,feature,best_threshold,direction,best_accuracy,class0,class1,class0_mean,class1_mean,cohen_d
0,mean_all,0.0003523675259202719,class1_if_lt,0.6704545454545454,true3d,flat_false,0.03789019456069747,0.03160251985536888,-0.18583772494686762
0,foreground_ratio,0.00011957908163265306,class1_if_lt,0.6704545454545454,true3d,flat_false,0.15176850214517626,0.15206880870245823,0.002282900426554585
0,foreground_mean,0.16703984141349792,class1_if_lt,0.7727272727272727,true3d,flat_false,0.24365390379997817,0.13016998547721992,-1.227691465740715
0,p95,0.18627451360225677,class1_if_lt,0.7613636363636364,true3d,flat_false,0.24295900885904717,0.13734403319275854,-0.9270758024666254
0,p99,0.2078431397676468,class1_if_lt,0.8181818181818182,true3d,flat_false,0.31033868936356157,0.13850267839999023,-1.6565114405624293
0,max_value,0.21568627655506134,class1_if_lt,0.8636363636363636,true3d,flat_false,0.3426025039093061,0.1440285247729414,-2.040556587164343
0,bbox_area_ratio,0.00015943877551020407,class1_if_lt,0.6704545454545454,true3d,flat_false,0.44894652640885907,0.37720043628246747,-0.2836131853441144
0,bbox_aspect,0.14201183431952663,class1_if_lt,0.6704545454545454,true3d,flat_false,1.4454422533492721,0.650809268585482,-0.4597694605587905
0,edge_density,0.0983852002557942,class1_if_lt,0.7840909090909091,true3d,flat_false,0.24059384130794764,0.07604542617939895,-1.2460946670868314
1,mean_all,0.02752472274005413,class1_if_lt,0.7272727272727273,true3d,flat_false,0.05897492957724766,0.0320792680405165,-1.0861143916467502
1,foreground_ratio,0.1384327168367347,class1_if_lt,0.5909090909090909,true3d,flat_false,0.2042741368564471,0.1895604744028293,-0.13035927243010512
1,foreground_mean,0.20435720682144165,class1_if_lt,0.8522727272727273,true3d,flat_false,0.2869924391535195,0.15218863280659373,-2.0803251494171935
1,p95,0.2803921699523926,class1_if_lt,0.8863636363636364,true3d,flat_false,0.31773619387637486,0.15971479925792664,-2.290656563811529
1,p99,0.23333333432674408,class1_if_lt,0.8863636363636364,true3d,flat_false,0.3289661400697448,0.1611408244670284,-2.4071697580761047
1,max_value,0.24117647111415863,class1_if_lt,0.875,true3d,flat_false,0.337700543417172,0.16791444310960782,-2.345714942376873
1,bbox_area_ratio,0.12978316326530612,class1_if_lt,0.5568181818181818,true3d,flat_false,0.5369920606737013,0.5004629159902598,-0.1964508144164429
1,bbox_aspect,0.3500087502187555,class1_if_lt,0.5681818181818182,true3d,flat_false,1.0039204592122442,0.8573753742565899,-0.2709016620561589
1,edge_density,0.08963299107667176,class1_if_lt,0.75,true3d,flat_false,0.20707546724875955,0.10017733590581143,-1.1287712810350388
2,mean_all,0.005493760225363076,class1_if_lt,0.6590909090909091,true3d,flat_false,0.047123096459968525,0.023608123619024726,-0.7612203136904827
2,foreground_ratio,0.021285076530612245,class1_if_lt,0.6590909090909091,true3d,flat_false,0.1808479606331169,0.1515483679267161,-0.22599102099076057
2,foreground_mean,0.20984423160552979,class1_if_lt,0.9090909090909091,true3d,flat_false,0.24805777689272707,0.10398884083737027,-2.182635007430245
2,p95,0.22156862914562225,class1_if_lt,0.875,true3d,flat_false,0.2483957283177667,0.10935829112052241,-1.6692303215584068
2,p99,0.2294117659330368,class1_if_lt,0.9886363636363636,true3d,flat_false,0.30554813688451593,0.1103386833036149,-2.8858192653774735
2,max_value,0.24117647111415863,class1_if_lt,0.9886363636363636,true3d,flat_false,0.3188057135451924,0.11461675791493194,-2.9078674694435853
2,bbox_area_ratio,0.060267857142857144,class1_if_lt,0.6590909090909091,true3d,flat_false,0.4557099917381724,0.38802324907235625,-0.27935974748792186
2,bbox_aspect,0.16923076923076924,class1_if_lt,0.6590909090909091,true3d,flat_false,1.0388618095874926,0.6798469078700702,-0.5268916699492276
2,edge_density,0.09547911682995458,class1_if_lt,0.8522727272727273,true3d,flat_false,0.23347792134634188,0.06790919318656084,-1.5541433351875968
