fusion_mode,seed,best_val_acc,best_epoch,total_parameters,artifact_dir
attention_residual,2026,1.0000,14,176419,experiments\localgpu_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm_full_attention_residual_mixaug_p05_g002_p80_b002_20ep_seed2026
attention_residual,332,1.0000,13,176419,experiments\localgpu_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm_full_attention_residual_mixaug_p05_g002_p80_b002_20ep_seed332
attention_residual,42,1.0000,15,176419,experiments\localgpu_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm_full_attention_residual_mixaug_p05_g002_p80_b002_20ep_seed42
mean,2026,1.0000,17,126371,experiments\localgpu_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm_full_mean_mixaug_p05_g002_p80_b002_20ep_seed2026
mean,332,0.8636,15,126371,experiments\localgpu_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm_full_mean_mixaug_p05_g002_p80_b002_20ep_seed332
mean,42,1.0000,13,126371,experiments\localgpu_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm_full_mean_mixaug_p05_g002_p80_b002_20ep_seed42
attention,2026,1.0000,8,126371,experiments\localgpu_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm_full_mixaug_p05_g002_p80_b002_20ep_seed2026
attention,332,0.9091,14,126371,experiments\localgpu_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm_full_mixaug_p05_g002_p80_b002_20ep_seed332
attention,42,1.0000,13,126371,experiments\localgpu_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm_full_mixaug_p05_g002_p80_b002_20ep_seed42
